Correct !!! 1     th article is classified as Business   ,actually is  Business  
Correct !!! 36    th article is classified as World      ,actually is  World     
Correct !!! 37    th article is classified as World      ,actually is  World     
Correct !!! 38    th article is classified as World      ,actually is  World     
Correct !!! 39    th article is classified as World      ,actually is  World     
Correct !!! 40    th article is classified as World      ,actually is  World     
Correct !!! 41    th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 42    th article is classified as Sci/Tech   ,actually is  Business  
Correct !!! 43    th article is classified as World      ,actually is  World     
Correct !!! 44    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 45    th article is classified as Sports     ,actually is  Sports    
Correct !!! 46    th article is classified as Sports     ,actually is  Sports    
Correct !!! 47    th article is classified as World      ,actually is  World     
Correct !!! 48    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 49    th article is classified as World      ,actually is  World     
Correct !!! 50    th article is classified as Sports     ,actually is  Sports    
Correct !!! 51    th article is classified as World      ,actually is  World     
Correct !!! 52    th article is classified as Sports     ,actually is  Sports    
Correct !!! 53    th article is classified as World      ,actually is  World     
Correct !!! 54    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 55    th article is classified as Business   ,actually is  Business  
Wrong   !!! 56    th article is classified as Sports     ,actually is  Sci/Tech  
Correct !!! 57    th article is classified as World      ,actually is  World     
Correct !!! 58    th article is classified as World      ,actually is  World     
Correct !!! 59    th article is classified as Business   ,actually is  Business  
Correct !!! 60    th article is classified as Business   ,actually is  Business  
Correct !!! 61    th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 62    th article is classified as World      ,actually is  Sports    
Correct !!! 63    th article is classified as Sports     ,actually is  Sports    
Correct !!! 64    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 65    th article is classified as World      ,actually is  World     
Correct !!! 66    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 67    th article is classified as World      ,actually is  World     
Correct !!! 68    th article is classified as World      ,actually is  World     
Correct !!! 69    th article is classified as Sports     ,actually is  Sports    
Correct !!! 70    th article is classified as World      ,actually is  World     
Correct !!! 71    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 72    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 73    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 74    th article is classified as World      ,actually is  World     
Correct !!! 75    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 76    th article is classified as Sports     ,actually is  Sports    
Correct !!! 77    th article is classified as World      ,actually is  World     
Correct !!! 78    th article is classified as Sports     ,actually is  Sports    
Correct !!! 79    th article is classified as World      ,actually is  World     
Wrong   !!! 80    th article is classified as Sports     ,actually is  World     
Correct !!! 81    th article is classified as World      ,actually is  World     
Correct !!! 82    th article is classified as Sports     ,actually is  Sports    
Correct !!! 83    th article is classified as Business   ,actually is  Business  
Wrong   !!! 84    th article is classified as Sci/Tech   ,actually is  Business  
Wrong   !!! 85    th article is classified as Business   ,actually is  World     
Correct !!! 86    th article is classified as World      ,actually is  World     
Correct !!! 87    th article is classified as Business   ,actually is  Business  
Correct !!! 88    th article is classified as World      ,actually is  World     
Correct !!! 89    th article is classified as World      ,actually is  World     
Correct !!! 90    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 91    th article is classified as World      ,actually is  World     
Correct !!! 92    th article is classified as Business   ,actually is  Business  
Correct !!! 93    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 94    th article is classified as Business   ,actually is  Business  
Correct !!! 95    th article is classified as Sports     ,actually is  Sports    
Correct !!! 96    th article is classified as Sports     ,actually is  Sports    
Correct !!! 97    th article is classified as Sports     ,actually is  Sports    
Correct !!! 98    th article is classified as Business   ,actually is  Business  
Correct !!! 99    th article is classified as World      ,actually is  World     
Correct !!! 100   th article is classified as Business   ,actually is  Business  
Wrong   !!! 101   th article is classified as World      ,actually is  Sports    
Correct !!! 102   th article is classified as Business   ,actually is  Business  
Wrong   !!! 103   th article is classified as World      ,actually is  Sci/Tech  
Correct !!! 104   th article is classified as Business   ,actually is  Business  
Correct !!! 105   th article is classified as World      ,actually is  World     
Correct !!! 106   th article is classified as Sports     ,actually is  Sports    
Correct !!! 107   th article is classified as World      ,actually is  World     
Correct !!! 108   th article is classified as Sports     ,actually is  Sports    
Correct !!! 109   th article is classified as World      ,actually is  World     
Correct !!! 110   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 111   th article is classified as Sci/Tech   ,actually is  Business  
Correct !!! 112   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 113   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 114   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 115   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 116   th article is classified as Sports     ,actually is  Sports    
Correct !!! 117   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 118   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 119   th article is classified as Business   ,actually is  Business  
Correct !!! 120   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 121   th article is classified as Business   ,actually is  World     
Correct !!! 122   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 123   th article is classified as Sports     ,actually is  Sci/Tech  
Correct !!! 124   th article is classified as World      ,actually is  World     
Correct !!! 125   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 126   th article is classified as World      ,actually is  Business  
Wrong   !!! 127   th article is classified as World      ,actually is  Sports    
Correct !!! 128   th article is classified as Sports     ,actually is  Sports    
Correct !!! 129   th article is classified as Sports     ,actually is  Sports    
Correct !!! 130   th article is classified as World      ,actually is  World     
Correct !!! 131   th article is classified as World      ,actually is  World     
Correct !!! 132   th article is classified as World      ,actually is  World     
Correct !!! 133   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 134   th article is classified as Sports     ,actually is  World     
Correct !!! 135   th article is classified as Sports     ,actually is  Sports    
Correct !!! 136   th article is classified as Sports     ,actually is  Sports    
Correct !!! 137   th article is classified as World      ,actually is  World     
Correct !!! 138   th article is classified as Sports     ,actually is  Sports    
Correct !!! 139   th article is classified as Sports     ,actually is  Sports    
Correct !!! 140   th article is classified as World      ,actually is  World     
Correct !!! 141   th article is classified as Sports     ,actually is  Sports    
Correct !!! 142   th article is classified as World      ,actually is  World     
Correct !!! 143   th article is classified as Sports     ,actually is  Sports    
Correct !!! 144   th article is classified as World      ,actually is  World     
Correct !!! 145   th article is classified as World      ,actually is  World     
Correct !!! 146   th article is classified as World      ,actually is  World     
Correct !!! 147   th article is classified as Sports     ,actually is  Sports    
Correct !!! 148   th article is classified as Business   ,actually is  Business  
Correct !!! 149   th article is classified as Sports     ,actually is  Sports    
Correct !!! 150   th article is classified as Sports     ,actually is  Sports    
Correct !!! 151   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 152   th article is classified as Sci/Tech   ,actually is  World     
Correct !!! 153   th article is classified as Sports     ,actually is  Sports    
Correct !!! 154   th article is classified as World      ,actually is  World     
Wrong   !!! 155   th article is classified as Business   ,actually is  World     
Wrong   !!! 156   th article is classified as Business   ,actually is  World     
Correct !!! 157   th article is classified as Business   ,actually is  Business  
Correct !!! 158   th article is classified as Sports     ,actually is  Sports    
Correct !!! 159   th article is classified as Sports     ,actually is  Sports    
Correct !!! 160   th article is classified as World      ,actually is  World     
Correct !!! 161   th article is classified as Sports     ,actually is  Sports    
Correct !!! 162   th article is classified as Business   ,actually is  Business  
Correct !!! 163   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 164   th article is classified as World      ,actually is  World     
Correct !!! 165   th article is classified as World      ,actually is  World     
Correct !!! 166   th article is classified as Business   ,actually is  Business  
Correct !!! 167   th article is classified as Business   ,actually is  Business  
Correct !!! 168   th article is classified as Business   ,actually is  Business  
Correct !!! 169   th article is classified as Sports     ,actually is  Sports    
Correct !!! 170   th article is classified as World      ,actually is  World     
Correct !!! 171   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 172   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 173   th article is classified as Sci/Tech   ,actually is  Business  
Wrong   !!! 174   th article is classified as Business   ,actually is  Sci/Tech  
Correct !!! 175   th article is classified as World      ,actually is  World     
Correct !!! 176   th article is classified as World      ,actually is  World     
Correct !!! 177   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 178   th article is classified as Sports     ,actually is  Sports    
Correct !!! 179   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 180   th article is classified as Sports     ,actually is  Sports    
Correct !!! 181   th article is classified as Business   ,actually is  Business  
Correct !!! 182   th article is classified as Sports     ,actually is  Sports    
Correct !!! 183   th article is classified as Sports     ,actually is  Sports    
Correct !!! 184   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 185   th article is classified as Business   ,actually is  Business  
Correct !!! 186   th article is classified as World      ,actually is  World     
Correct !!! 187   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 188   th article is classified as World      ,actually is  World     
Correct !!! 189   th article is classified as Sports     ,actually is  Sports    
Correct !!! 190   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 191   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 192   th article is classified as World      ,actually is  World     
Correct !!! 193   th article is classified as World      ,actually is  World     
Correct !!! 194   th article is classified as World      ,actually is  World     
Correct !!! 195   th article is classified as Business   ,actually is  Business  
Wrong   !!! 196   th article is classified as Sci/Tech   ,actually is  Business  
Correct !!! 197   th article is classified as World      ,actually is  World     
Correct !!! 198   th article is classified as Sports     ,actually is  Sports    
Correct !!! 199   th article is classified as Business   ,actually is  Business  
Correct !!! 200   th article is classified as Sports     ,actually is  Sports    
Correct !!! 201   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 202   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 203   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 204   th article is classified as World      ,actually is  World     
Correct !!! 205   th article is classified as Sports     ,actually is  Sports    
Correct !!! 206   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 207   th article is classified as Business   ,actually is  Sports    
Correct !!! 208   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 209   th article is classified as Sports     ,actually is  Sports    
Correct !!! 210   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 211   th article is classified as Sports     ,actually is  Sports    
Correct !!! 212   th article is classified as World      ,actually is  World     
Correct !!! 213   th article is classified as Sports     ,actually is  Sports    
Correct !!! 214   th article is classified as Sports     ,actually is  Sports    
Correct !!! 215   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 216   th article is classified as World      ,actually is  Sci/Tech  
Correct !!! 217   th article is classified as Business   ,actually is  Business  
Correct !!! 218   th article is classified as Business   ,actually is  Business  
Wrong   !!! 219   th article is classified as Business   ,actually is  Sci/Tech  
Correct !!! 220   th article is classified as Sports     ,actually is  Sports    
Correct !!! 221   th article is classified as Sports     ,actually is  Sports    
Correct !!! 222   th article is classified as World      ,actually is  World     
Correct !!! 223   th article is classified as Business   ,actually is  Business  
Correct !!! 224   th article is classified as Sports     ,actually is  Sports    
Correct !!! 225   th article is classified as Business   ,actually is  Business  
Correct !!! 226   th article is classified as Business   ,actually is  Business  
Correct !!! 227   th article is classified as World      ,actually is  World     
Correct !!! 228   th article is classified as Sports     ,actually is  Sports    
Correct !!! 229   th article is classified as Business   ,actually is  Business  
Correct !!! 230   th article is classified as World      ,actually is  World     
Correct !!! 231   th article is classified as Sports     ,actually is  Sports    
Correct !!! 232   th article is classified as Sports     ,actually is  Sports    
Correct !!! 233   th article is classified as Business   ,actually is  Business  
Correct !!! 234   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 235   th article is classified as Business   ,actually is  Business  
Correct !!! 236   th article is classified as Sports     ,actually is  Sports    
Correct !!! 237   th article is classified as Business   ,actually is  Business  
Correct !!! 238   th article is classified as Sports     ,actually is  Sports    
Correct !!! 239   th article is classified as World      ,actually is  World     
Correct !!! 240   th article is classified as Business   ,actually is  Business  
Wrong   !!! 241   th article is classified as Business   ,actually is  Sci/Tech  
Wrong   !!! 242   th article is classified as World      ,actually is  Sports    
Correct !!! 243   th article is classified as Sports     ,actually is  Sports    
Correct !!! 244   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 245   th article is classified as Business   ,actually is  Business  
Correct !!! 246   th article is classified as Business   ,actually is  Business  
Correct !!! 247   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 248   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 249   th article is classified as Business   ,actually is  Sci/Tech  
Correct !!! 250   th article is classified as World      ,actually is  World     
Correct !!! 251   th article is classified as Business   ,actually is  Business  
Correct !!! 252   th article is classified as World      ,actually is  World     
Correct !!! 253   th article is classified as Sports     ,actually is  Sports    
Correct !!! 254   th article is classified as Business   ,actually is  Business  
Correct !!! 255   th article is classified as Business   ,actually is  Business  
Correct !!! 256   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 257   th article is classified as Business   ,actually is  Business  
Correct !!! 258   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 259   th article is classified as Business   ,actually is  Sci/Tech  
Correct !!! 260   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 261   th article is classified as Sports     ,actually is  Sports    
Correct !!! 262   th article is classified as World      ,actually is  World     
Correct !!! 263   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 264   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 265   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 266   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 267   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 268   th article is classified as Business   ,actually is  Sci/Tech  
Correct !!! 269   th article is classified as Sports     ,actually is  Sports    
Correct !!! 270   th article is classified as Sports     ,actually is  Sports    
Correct !!! 271   th article is classified as Sports     ,actually is  Sports    
Correct !!! 272   th article is classified as World      ,actually is  World     
Wrong   !!! 273   th article is classified as Sci/Tech   ,actually is  Business  
Correct !!! 274   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 275   th article is classified as Sports     ,actually is  Sports    
Correct !!! 276   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 277   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 278   th article is classified as Sports     ,actually is  Sports    
Correct !!! 279   th article is classified as Business   ,actually is  Business  
Correct !!! 280   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 281   th article is classified as Business   ,actually is  Business  
Correct !!! 282   th article is classified as Sports     ,actually is  Sports    
Correct !!! 283   th article is classified as Sports     ,actually is  Sports    
Correct !!! 284   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 285   th article is classified as Sports     ,actually is  Sports    
Correct !!! 286   th article is classified as World      ,actually is  World     
Correct !!! 287   th article is classified as World      ,actually is  World     
Correct !!! 288   th article is classified as Business   ,actually is  Business  
Correct !!! 289   th article is classified as Business   ,actually is  Business  
Correct !!! 290   th article is classified as Sports     ,actually is  Sports    
Correct !!! 291   th article is classified as Sports     ,actually is  Sports    
Correct !!! 292   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 293   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 294   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 295   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 296   th article is classified as Sci/Tech   ,actually is  World     
Correct !!! 297   th article is classified as World      ,actually is  World     
Correct !!! 298   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 299   th article is classified as Sports     ,actually is  Sports    
Correct !!! 300   th article is classified as Business   ,actually is  Business  
Correct !!! 301   th article is classified as Sports     ,actually is  Sports    
Correct !!! 302   th article is classified as Business   ,actually is  Business  
Correct !!! 303   th article is classified as Business   ,actually is  Business  
Correct !!! 304   th article is classified as Business   ,actually is  Business  
Correct !!! 305   th article is classified as Business   ,actually is  Business  
Wrong   !!! 306   th article is classified as Sci/Tech   ,actually is  Sports    
Correct !!! 307   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 308   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 309   th article is classified as Sports     ,actually is  Sports    
Correct !!! 310   th article is classified as Business   ,actually is  Business  
Wrong   !!! 311   th article is classified as Sci/Tech   ,actually is  Business  
Wrong   !!! 312   th article is classified as World      ,actually is  Sports    
Correct !!! 313   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 314   th article is classified as Business   ,actually is  Business  
Correct !!! 315   th article is classified as Business   ,actually is  Business  
Correct !!! 316   th article is classified as World      ,actually is  World     
Correct !!! 317   th article is classified as World      ,actually is  World     
Wrong   !!! 318   th article is classified as Sci/Tech   ,actually is  Business  
Correct !!! 319   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 320   th article is classified as Sci/Tech   ,actually is  Business  
Correct !!! 321   th article is classified as Business   ,actually is  Business  
Correct !!! 322   th article is classified as World      ,actually is  World     
Wrong   !!! 323   th article is classified as Sci/Tech   ,actually is  Sports    
Correct !!! 324   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 325   th article is classified as Sports     ,actually is  Sports    
Correct !!! 326   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 327   th article is classified as World      ,actually is  World     
Wrong   !!! 328   th article is classified as Business   ,actually is  World     
Correct !!! 329   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 330   th article is classified as Business   ,actually is  Business  
Wrong   !!! 331   th article is classified as Business   ,actually is  Sci/Tech  
Correct !!! 332   th article is classified as Sports     ,actually is  Sports    
Correct !!! 333   th article is classified as World      ,actually is  World     
Correct !!! 334   th article is classified as World      ,actually is  World     
Correct !!! 335   th article is classified as Sports     ,actually is  Sports    
Correct !!! 336   th article is classified as World      ,actually is  World     
Wrong   !!! 337   th article is classified as World      ,actually is  Business  
Correct !!! 338   th article is classified as Business   ,actually is  Business  
Correct !!! 339   th article is classified as Sports     ,actually is  Sports    
Correct !!! 340   th article is classified as Sports     ,actually is  Sports    
Correct !!! 341   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 342   th article is classified as Sports     ,actually is  Sports    
Correct !!! 343   th article is classified as World      ,actually is  World     
Correct !!! 344   th article is classified as Sports     ,actually is  Sports    
Correct !!! 345   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 346   th article is classified as Business   ,actually is  Sci/Tech  
Wrong   !!! 347   th article is classified as Business   ,actually is  Sci/Tech  
Correct !!! 348   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 349   th article is classified as Sports     ,actually is  World     
Correct !!! 350   th article is classified as Business   ,actually is  Business  
Correct !!! 351   th article is classified as Sports     ,actually is  Sports    
Correct !!! 352   th article is classified as World      ,actually is  World     
Correct !!! 353   th article is classified as World      ,actually is  World     
Correct !!! 354   th article is classified as Sports     ,actually is  Sports    
Correct !!! 355   th article is classified as World      ,actually is  World     
Wrong   !!! 356   th article is classified as Sports     ,actually is  World     
Correct !!! 357   th article is classified as Sports     ,actually is  Sports    
Correct !!! 358   th article is classified as Business   ,actually is  Business  
Correct !!! 359   th article is classified as Sports     ,actually is  Sports    
Correct !!! 360   th article is classified as Sports     ,actually is  Sports    
Correct !!! 361   th article is classified as Sports     ,actually is  Sports    
Correct !!! 362   th article is classified as World      ,actually is  World     
Correct !!! 363   th article is classified as Business   ,actually is  Business  
Correct !!! 364   th article is classified as World      ,actually is  World     
Correct !!! 365   th article is classified as World      ,actually is  World     
Correct !!! 366   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 367   th article is classified as Sports     ,actually is  Sports    
Correct !!! 368   th article is classified as Business   ,actually is  Business  
Correct !!! 369   th article is classified as World      ,actually is  World     
Correct !!! 370   th article is classified as World      ,actually is  World     
Correct !!! 371   th article is classified as Sports     ,actually is  Sports    
Correct !!! 372   th article is classified as World      ,actually is  World     
Correct !!! 373   th article is classified as World      ,actually is  World     
Correct !!! 374   th article is classified as Sports     ,actually is  Sports    
Correct !!! 375   th article is classified as Sports     ,actually is  Sports    
Correct !!! 376   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 377   th article is classified as World      ,actually is  Sports    
Correct !!! 378   th article is classified as Sports     ,actually is  Sports    
Correct !!! 379   th article is classified as Business   ,actually is  Business  
Wrong   !!! 380   th article is classified as Sports     ,actually is  World     
Correct !!! 381   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 382   th article is classified as Sci/Tech   ,actually is  Sports    
Correct !!! 383   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 384   th article is classified as Sports     ,actually is  Sports    
Wrong   !!! 385   th article is classified as World      ,actually is  Business  
Correct !!! 386   th article is classified as Sports     ,actually is  Sports    
Correct !!! 387   th article is classified as Sports     ,actually is  Sports    
Correct !!! 388   th article is classified as Sports     ,actually is  Sports    
Correct !!! 389   th article is classified as World      ,actually is  World     
Correct !!! 390   th article is classified as World      ,actually is  World     
Correct !!! 391   th article is classified as World      ,actually is  World     
Correct !!! 392   th article is classified as Sports     ,actually is  Sports    
Correct !!! 393   th article is classified as World      ,actually is  World     
Correct !!! 394   th article is classified as World      ,actually is  World     
Correct !!! 395   th article is classified as World      ,actually is  World     
Wrong   !!! 396   th article is classified as Sci/Tech   ,actually is  Sports    
Correct !!! 397   th article is classified as Sports     ,actually is  Sports    
Correct !!! 398   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 399   th article is classified as Sports     ,actually is  Sports    
Correct !!! 400   th article is classified as Business   ,actually is  Business  
Correct !!! 401   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 402   th article is classified as Sports     ,actually is  Sports    
Correct !!! 403   th article is classified as World      ,actually is  World     
Correct !!! 404   th article is classified as World      ,actually is  World     
Correct !!! 405   th article is classified as World      ,actually is  World     
Correct !!! 406   th article is classified as Business   ,actually is  Business  
Correct !!! 407   th article is classified as Business   ,actually is  Business  
Correct !!! 408   th article is classified as Business   ,actually is  Business  
Wrong   !!! 409   th article is classified as World      ,actually is  Business  
Correct !!! 410   th article is classified as Sports     ,actually is  Sports    
Correct !!! 411   th article is classified as Business   ,actually is  Business  
Correct !!! 412   th article is classified as Sports     ,actually is  Sports    
Correct !!! 413   th article is classified as World      ,actually is  World     
Correct !!! 414   th article is classified as World      ,actually is  World     
Correct !!! 415   th article is classified as World      ,actually is  World     
Wrong   !!! 416   th article is classified as World      ,actually is  Sports    
Correct !!! 417   th article is classified as Sports     ,actually is  Sports    
Correct !!! 418   th article is classified as Business   ,actually is  Business  
Correct !!! 419   th article is classified as Business   ,actually is  Business  
Correct !!! 420   th article is classified as World      ,actually is  World     
Wrong   !!! 421   th article is classified as Sports     ,actually is  World     
Correct !!! 422   th article is classified as Sports     ,actually is  Sports    
Correct !!! 423   th article is classified as Business   ,actually is  Business  
Correct !!! 424   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 425   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 426   th article is classified as World      ,actually is  World     
Correct !!! 427   th article is classified as Business   ,actually is  Business  
Correct !!! 428   th article is classified as Business   ,actually is  Business  
Correct !!! 429   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 430   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 431   th article is classified as World      ,actually is  World     
Correct !!! 432   th article is classified as Sports     ,actually is  Sports    
Correct !!! 433   th article is classified as Sports     ,actually is  Sports    
Correct !!! 434   th article is classified as Business   ,actually is  Business  
Correct !!! 435   th article is classified as Business   ,actually is  Business  
Correct !!! 436   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 437   th article is classified as Business   ,actually is  Business  
Correct !!! 438   th article is classified as Business   ,actually is  Business  
Correct !!! 439   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 440   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 441   th article is classified as Sci/Tech   ,actually is  Business  
Correct !!! 442   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 443   th article is classified as World      ,actually is  World     
Correct !!! 444   th article is classified as Business   ,actually is  Business  
Correct !!! 445   th article is classified as World      ,actually is  World     
Correct !!! 446   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 447   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 448   th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 449   th article is classified as Business   ,actually is  Business  
Correct !!! 450   th article is classified as Business   ,actually is  Business  
Correct !!! 451   th article is classified as World      ,actually is  World     
Correct !!! 452   th article is classified as World      ,actually is  World     
Correct !!! 453   th article is classified as Business   ,actually is  Business  
